project_id,num_floors,floor_area_sqm,built_up_area_sqft,room_count,bathroom_count,foundation_excavation_m3,foundation_concrete_m3,total_concrete_m3,steel_kg_estimate,total_brickwork_m3,roof_area_sqm,floor_tile_sqm,wall_plaster_sqm,paint_sqm,electrical_points,total_plumbing_fixtures,total_labour_days,structural_complexity_score,foundation_days,structure_days,masonry_days,roofing_days,electrical_days,plumbing_days,plastering_days,finishing_days,painting_days,external_work_days,handover_days,total_duration_days
RP0071,2,119.66,1288.01,7,3,51.09,21.77,62.89,9392.33,57.7,136.84,197.16,685.66,587.86,60,15,753,1.83,20,57,30,12,16,14,30,27,18,6,5,158
RP0072,2,88.07,947.98,3,2,40.56,17.53,48.08,7118.53,39.11,107.87,158.37,474.88,465.88,33,12,503,1.603,20,51,20,10,12,12,22,23,16,6,4,134
RP0073,3,93.59,1007.39,6,4,47.91,22.53,73.46,13935.29,74.03,105.87,225.61,797.27,737.92,59,24,925,2.167,24,79,41,11,18,20,35,25,23,8,5,198
RP0074,2,164.3,1768.51,5,4,69.17,31.72,86.59,14576.75,77.14,189.59,280.16,865.39,879.91,48,20,976,1.808,26,75,38,15,15,19,37,27,28,7,4,200
RP0075,2,193.65,2084.43,4,2,86.92,38.83,111.15,16762.14,91.5,247.49,329.63,937.79,956.05,32,11,1139,1.787,32,87,44,18,10,11,39,21,27,9,3,219
RP0076,1,190.52,2050.74,4,2,71.08,32.13,65.45,6485.7,44.58,203.84,163.78,533.6,488.92,37,9,614,1.34,24,45,23,16,10,10,23,19,17,8,4,133
RP0077,1,287.49,3094.51,6,2,113.33,43.87,90.63,10038.54,72.06,315.21,262.88,780.81,740.37,46,10,842,1.48,31,60,39,21,13,12,30,25,21,10,4,177
RP0078,3,271.41,2921.43,8,3,142.3,64.5,216.1,41786.88,232.93,300.28,735.94,2485.23,2072.84,70,18,2130,2.462,44,178,99,21,21,17,95,43,54,12,5,445
RP0079,3,261.68,2816.7,5,4,145.89,61.46,214.58,40608.21,217.49,309.01,568.96,2105.94,2104.39,41,20,2326,2.369,48,171,93,23,15,19,82,33,55,12,4,423
RP0080,2,213.94,2302.83,8,3,101.24,45.23,122.32,15401.05,121.76,274.27,319.52,1343.31,1340.64,54,15,1335,1.939,33,91,59,21,16,16,53,28,37,10,4,260
RP0081,3,140.64,1513.83,7,4,75.86,33.69,110.72,19203.92,96.77,165.74,331.61,1324.25,1275.52,58,20,1465,2.301,31,101,47,14,18,18,53,29,37,8,4,262
RP0082,1,101.96,1097.49,3,2,36.1,16.96,32.61,3457.9,22.93,116.72,86.96,278.91,272.99,22,10,338,1.125,15,30,16,11,8,11,14,18,11,5,3,92
RP0083,3,167.41,1801.98,6,2,82.35,43.34,122.35,22481.03,134.99,189.87,395.62,1465.1,1467.24,45,12,1497,2.353,33,112,64,16,15,14,57,32,39,9,4,291
RP0084,1,336.87,3626.03,6,2,120.33,54.09,118.0,11103.1,88.66,447.43,244.83,931.51,949.77,46,9,1111,1.546,35,67,44,30,12,9,35,21,25,11,3,196
RP0085,3,148.84,1602.1,5,4,77.47,34.9,112.78,22309.74,110.92,179.52,376.88,1240.93,1197.5,51,23,1384,2.18,30,107,51,16,17,22,50,30,33,9,4,262
RP0086,2,253.86,2732.52,8,3,108.03,53.9,149.31,21642.71,148.61,288.76,434.44,1633.59,1516.76,66,15,1778,1.956,37,108,68,20,17,16,64,34,42,12,5,305
RP0087,1,104.56,1125.47,4,2,40.09,16.28,37.12,3778.65,24.19,126.04,77.88,267.03,270.18,28,10,358,1.274,16,33,18,11,9,11,17,15,12,4,4,97
RP0088,3,342.16,3682.98,6,4,155.51,85.57,289.73,54794.49,264.24,436.59,785.94,3069.59,2885.28,59,21,3185,2.382,56,221,112,30,17,20,114,41,74,14,4,545
RP0089,3,323.2,3478.89,8,4,168.9,83.04,261.55,49289.71,254.23,404.67,855.95,2665.99,2439.65,76,21,3096,2.418,53,204,108,28,22,19,99,47,63,11,4,498
RP0090,3,276.57,2976.97,7,3,137.96,66.35,225.73,38774.49,240.83,304.31,739.05,2439.98,2299.35,60,18,2477,2.503,46,170,101,23,18,18,94,43,60,12,4,445
RP0091,3,204.12,2197.13,5,3,105.15,53.01,159.04,30529.91,168.06,210.71,546.29,1614.37,1494.37,48,17,1849,2.238,39,134,72,17,14,16,64,34,40,10,4,333
RP0092,2,257.61,2772.89,8,3,111.72,52.46,156.57,22299.66,127.07,326.18,449.77,1617.2,1591.94,54,15,1600,1.902,38,106,58,22,15,15,64,36,43,10,5,301
RP0093,3,112.17,1207.39,4,4,59.07,26.68,89.0,13657.98,78.12,134.32,245.58,895.12,800.68,46,21,1030,2.157,26,79,38,14,14,20,38,25,24,8,5,202
RP0094,3,104.04,1119.88,4,2,52.6,24.94,79.49,14427.25,70.16,135.07,228.55,860.34,726.98,36,13,971,2.2,23,81,36,14,13,11,37,26,22,8,4,196
RP0095,3,97.3,1047.33,4,2,53.3,22.72,72.65,12740.04,73.55,115.11,258.41,801.85,765.82,41,12,924,2.266,23,77,35,14,14,12,36,24,23,8,4,190
RP0096,3,218.02,2346.75,6,4,108.03,50.97,177.98,33348.09,170.36,258.43,484.56,1826.96,1545.63,62,19,1985,2.29,40,143,75,19,17,18,70,33,42,10,4,352
RP0097,1,185.3,1994.55,6,1,69.41,28.12,61.5,6440.26,51.86,202.83,169.98,500.4,512.73,44,5,615,1.421,23,46,31,16,12,8,23,21,16,7,4,138
RP0098,2,250.68,2698.29,7,4,119.77,53.57,145.57,20018.72,144.87,272.38,428.58,1394.05,1315.78,61,18,1507,2.104,36,103,67,20,17,16,54,29,34,10,3,277
RP0099,3,340.76,3667.91,7,4,186.7,84.86,284.21,50085.95,274.8,410.03,922.79,2925.39,2605.47,66,20,3016,2.469,55,210,115,28,20,18,108,52,67,12,5,526
RP0100,1,377.79,4066.49,7,2,132.05,66.15,134.14,11449.46,101.88,439.73,277.02,1043.31,868.81,46,10,1157,1.58,40,74,50,29,11,11,41,29,27,13,4,224
RP0101,2,318.62,3429.59,8,3,154.01,67.76,182.69,26292.92,174.48,404.89,494.32,1974.51,2012.24,56,16,1749,2.044,43,122,78,27,16,17,74,36,53,11,5,353
RP0102,1,153.63,1653.66,6,2,55.2,25.84,53.35,5367.13,37.36,185.88,133.64,405.54,371.8,43,9,509,1.475,22,41,24,13,12,11,21,22,15,8,5,128
RP0103,1,199.65,2149.01,4,1,81.93,33.25,68.03,7511.42,47.4,222.6,179.96,520.74,493.82,32,5,706,1.387,25,48,26,17,10,6,24,19,14,7,4,138
RP0104,3,95.19,1024.62,4,3,47.88,23.69,69.99,13286.89,66.18,114.52,224.54,776.09,666.82,46,17,829,2.127,23,79,33,11,15,16,34,21,20,8,4,185
RP0105,1,141.76,1525.89,3,2,47.55,22.18,46.57,4761.59,30.04,169.78,125.97,370.29,364.05,27,10,500,1.275,17,40,19,12,10,12,17,18,12,6,4,109
RP0106,1,139.56,1502.21,3,2,48.82,23.16,45.48,4619.26,30.42,173.9,119.76,378.4,325.27,30,9,430,1.317,21,39,18,13,10,11,18,15,12,7,3,110
RP0107,3,98.46,1059.81,6,4,52.08,24.52,75.1,14340.55,70.76,118.23,235.6,864.67,726.12,59,21,941,2.196,23,81,37,12,18,19,37,26,24,9,5,199
RP0108,1,268.87,2894.09,6,4,98.28,42.16,92.24,9882.26,67.29,321.48,237.03,726.32,625.3,47,17,986,1.451,30,57,35,22,13,18,31,22,19,9,4,168
RP0109,3,116.75,1256.69,6,4,60.85,29.11,84.04,18051.0,89.2,136.7,308.5,916.96,811.36,61,21,1031,2.15,25,90,42,12,17,19,38,30,26,7,5,217
RP0110,1,307.18,3306.45,6,2,108.55,51.86,109.45,10530.14,79.64,358.52,232.89,871.11,829.28,45,9,1011,1.584,32,67,43,25,14,10,34,23,25,10,4,194
RP0111,2,399.81,4303.51,7,3,171.18,86.0,217.57,35336.65,204.96,484.93,622.41,2432.67,2371.53,61,14,2467,2.132,54,154,87,31,17,14,92,37,59,14,4,424
RP0112,1,88.38,951.31,3,3,31.17,14.22,28.48,3154.64,20.94,108.03,65.46,228.46,219.57,27,15,300,1.177,14,27,14,11,7,14,13,18,11,5,4,87
RP0113,1,267.25,2876.65,4,2,90.27,42.3,91.66,9076.08,62.96,297.28,201.14,711.38,646.72,32,10,871,1.529,30,64,33,21,11,10,29,18,20,10,4,171
RP0114,2,303.56,3267.49,8,3,142.66,63.06,158.5,25019.93,169.23,343.03,500.68,1868.41,1876.59,58,15,1891,2.042,41,116,76,24,16,15,70,35,49,12,6,336
RP0115,1,189.53,2040.08,5,2,70.44,28.93,63.25,6800.84,47.74,217.64,173.78,505.01,473.7,34,10,545,1.367,23,45,28,15,10,11,23,20,15,6,3,132
RP0116,3,258.96,2787.42,7,3,132.4,59.15,196.22,38582.99,209.09,289.25,560.4,2308.89,2257.58,59,15,2227,2.385,41,161,89,22,18,14,88,37,59,11,5,416
RP0117,1,305.68,3290.31,5,1,121.08,50.12,104.93,9289.65,64.46,331.24,263.93,843.37,761.0,38,6,940,1.562,35,63,32,25,11,8,35,27,24,9,5,189
RP0118,2,374.05,4026.24,8,3,158.15,75.18,206.86,35049.26,231.03,426.44,603.32,2360.52,2011.73,59,16,2342,2.094,47,151,102,29,18,15,89,37,52,14,4,412
RP0119,2,185.61,1997.89,4,3,88.34,33.6,107.55,16467.22,76.79,224.33,326.61,926.28,939.64,33,15,1112,1.841,28,87,39,19,12,16,39,28,28,8,4,217
RP0120,1,222.63,2396.37,5,2,79.95,37.41,81.66,7683.84,55.34,267.28,201.04,575.79,519.36,42,9,744,1.429,25,53,28,18,13,11,25,26,18,9,5,154
RP0121,2,81.28,874.89,4,2,39.13,16.57,42.8,6196.51,36.81,94.42,128.93,441.67,391.9,33,12,528,1.65,17,48,23,10,12,12,21,19,14,6,4,125
RP0122,3,268.49,2890.0,6,4,147.38,63.62,206.4,40438.35,210.06,305.6,701.71,2136.32,1926.45,64,23,2279,2.425,47,171,90,23,19,20,81,37,50,11,4,416
RP0123,2,214.34,2307.13,8,3,96.06,47.22,118.02,18224.08,112.64,256.4,336.26,1397.17,1227.29,60,18,1309,1.92,31,94,55,21,15,18,55,32,33,11,5,259
RP0124,1,320.62,3451.12,7,2,112.21,46.55,108.75,12024.0,81.08,349.88,273.82,903.73,880.4,53,9,1034,1.681,32,71,42,24,15,10,36,25,24,11,5,200
RP0125,3,387.8,4174.24,7,5,193.82,91.8,278.96,61874.15,299.89,476.52,1006.28,3428.95,3129.45,70,26,3430,2.572,62,234,125,32,20,23,127,53,78,14,4,593
RP0126,3,190.02,2045.36,6,4,102.17,41.2,134.02,31240.52,134.63,201.2,468.88,1562.19,1498.19,59,20,1720,2.249,33,133,64,18,18,19,60,34,43,9,5,321
RP0127,2,376.91,4057.02,7,3,158.47,72.44,213.56,31219.49,196.88,436.36,640.58,2245.22,2036.88,55,15,2206,2.054,49,143,86,29,16,15,86,42,53,14,5,398
RP0128,2,217.88,2345.24,6,3,99.9,49.78,125.81,18379.88,106.87,250.93,361.24,1203.97,1070.14,47,13,1516,1.914,34,91,51,18,15,13,47,27,30,9,4,243
RP0129,1,386.91,4164.66,7,2,124.36,60.53,135.12,13788.08,105.76,461.17,295.59,1151.02,1049.6,51,9,1270,1.587,39,80,50,29,14,10,43,29,28,11,5,233
RP0130,2,118.36,1274.02,3,2,57.64,23.09,64.13,10866.11,49.98,132.18,216.57,632.11,649.33,29,12,709,1.674,21,62,27,13,8,11,28,18,20,7,3,155
RP0131,3,249.71,2687.85,8,3,131.28,64.61,196.46,38819.09,222.04,281.76,585.06,2211.25,2066.23,68,17,2216,2.375,47,163,95,23,19,16,84,42,55,10,5,421
RP0132,3,91.53,985.22,7,4,47.33,24.98,77.63,12800.28,75.06,95.98,207.47,802.71,693.58,58,21,908,2.201,22,78,38,13,16,18,36,27,22,8,5,193
RP0133,1,167.63,1804.35,3,1,58.88,25.31,56.37,5408.78,36.85,205.09,123.25,460.99,383.31,24,5,507,1.262,20,39,20,13,8,8,19,16,15,7,4,114
RP0134,3,105.82,1139.04,6,3,49.68,28.5,78.81,14577.56,75.01,126.44,243.87,877.04,753.09,46,16,927,2.191,25,82,39,13,14,16,38,24,23,6,3,200
RP0135,3,180.76,1945.68,7,4,96.23,43.83,149.92,27320.61,143.75,205.79,449.67,1511.93,1339.27,70,20,1516,2.388,34,127,64,19,19,18,60,33,37,10,5,310
RP0136,1,223.55,2406.27,7,3,78.28,35.34,72.54,7357.25,55.32,236.63,166.27,657.67,578.14,58,13,744,1.485,25,51,33,18,15,13,27,20,17,8,4,149
RP0137,1,179.09,1927.71,5,1,61.8,29.52,59.66,6648.62,42.35,205.05,136.8,514.54,485.79,41,6,568,1.342,23,44,26,16,12,8,25,21,16,9,5,137
RP0138,3,326.66,3516.14,8,4,156.04,72.35,237.71,45239.47,260.03,389.26,781.09,2750.77,2343.76,72,21,2934,2.481,52,187,109,27,20,19,103,42,59,12,4,480
RP0139,1,90.71,976.39,4,2,33.44,14.12,31.32,3246.42,21.76,106.88,65.43,245.16,204.69,30,9,312,1.236,13,31,16,8,10,10,13,16,8,5,2,87
RP0140,2,174.42,1877.44,5,2,80.71,35.02,96.0,15553.38,83.62,192.48,315.27,995.51,838.09,43,10,1090,1.743,26,81,42,16,13,11,41,26,26,8,4,210
RP0141,3,276.62,2977.51,8,4,148.66,64.26,219.48,38690.25,220.68,329.77,691.7,2390.27,2300.84,73,19,2636,2.479,46,170,95,24,19,19,90,42,59,10,4,436
RP0142,1,314.34,3383.52,7,2,112.17,58.98,117.21,10750.64,90.06,363.31,271.46,909.41,908.9,47,10,1005,1.591,36,66,45,25,14,11,35,23,26,9,4,200
RP0143,2,341.42,3675.01,6,3,159.79,70.36,193.98,27395.26,161.02,385.79,546.92,1729.54,1523.23,55,15,2262,1.951,47,130,71,26,15,17,68,37,42,11,5,344
RP0144,1,339.07,3649.72,7,2,124.4,52.06,101.84,12252.39,100.9,380.06,252.65,1030.49,919.5,47,10,1117,1.615,36,68,51,26,13,12,41,29,27,15,4,214
RP0145,3,256.31,2758.9,7,5,140.52,65.09,210.67,35505.09,220.14,316.53,556.43,2262.88,2098.52,69,25,2261,2.365,45,159,94,24,20,22,88,39,55,12,4,417
RP0146,1,384.7,4140.87,8,2,151.05,60.41,131.55,14368.58,103.2,431.01,288.27,1104.28,971.37,59,9,1162,1.619,42,82,51,28,16,10,43,28,29,10,5,239
