project_id,district,construction_type,soil_type,built_up_area_sqft,num_floors,num_rooms,num_bathrooms,total_cost_lkr,labor_hours_total,material_cost_lkr,contractor_experience_years,start_month,num_workers,had_delays,preconstruction_weeks,siteprep_weeks,foundation_weeks,structure_weeks,envelope_weeks,mep_weeks,finishes_weeks,external_weeks,total_weeks
PRJ-0012,Kegalle,Commercial,Sandy,10379.0,4.0,14.0,7.0,259987000.0,52906.0,135723000.0,26.0,12.0,46.0,0,5.4,2.8,5.9,12.1,6.2,4.5,8.0,3.1,48.0
PRJ-0013,Badulla,Residential,Laterite,4253.0,1.0,2.0,1.0,26863000.0,9071.0,14812000.0,13.0,7.0,34.0,0,4.3,2.0,3.3,5.2,2.9,2.1,4.1,1.8,25.7
PRJ-0014,Kandy,Residential,Sandy,7475.0,1.0,4.0,1.0,58458000.0,13702.0,36811000.0,6.0,7.0,35.0,0,4.6,2.4,3.9,6.6,3.4,2.1,5.2,2.2,30.4
PRJ-0015,Matara,Commercial,Clay,1755.0,5.0,20.0,8.0,84136000.0,14359.0,44023000.0,6.0,8.0,39.0,0,7.2,2.1,5.7,11.0,5.0,5.3,7.7,1.6,45.6
PRJ-0016,Kegalle,Residential,Clay,7095.0,4.0,8.0,2.0,181697000.0,57704.0,93103000.0,12.0,7.0,25.0,0,5.7,2.6,5.8,10.2,5.4,3.3,7.0,2.3,42.3
PRJ-0017,Kalutara,Commercial,Loam,2512.0,2.0,8.0,3.0,38053000.0,4368.0,21792000.0,8.0,5.0,35.0,0,5.9,1.5,3.2,6.6,3.0,2.9,5.5,1.8,30.4
PRJ-0018,Monaragala,Mixed-Use,Loam,5503.0,1.0,3.0,1.0,39801000.0,6383.0,21706000.0,24.0,7.0,23.0,0,4.5,1.8,3.0,5.6,3.2,2.1,4.6,2.2,27.0
PRJ-0019,Badulla,Commercial,Clay,7363.0,5.0,11.0,3.0,261812000.0,53420.0,153032000.0,22.0,10.0,35.0,0,6.8,2.7,6.5,12.0,6.3,3.9,7.4,2.6,48.2
PRJ-0020,Gampaha,Residential,Laterite,10265.0,4.0,13.0,5.0,222709000.0,45896.0,138207000.0,19.0,3.0,57.0,1,4.6,2.5,6.1,13.3,6.9,4.1,8.6,2.8,48.9
PRJ-0021,Kegalle,Commercial,Loam,6431.0,4.0,13.0,4.0,214592000.0,47370.0,111711000.0,5.0,5.0,36.0,0,6.9,1.9,4.6,10.6,5.4,3.8,7.3,2.4,42.9
PRJ-0022,Mannar,Residential,Loam,12803.0,2.0,4.0,2.0,146169000.0,53437.0,85817000.0,18.0,7.0,6.0,0,4.7,2.7,4.4,9.4,5.6,2.5,6.8,3.2,39.3
PRJ-0023,Nuwara Eliya,Residential,Loam,11617.0,5.0,24.0,14.0,336520000.0,80929.0,193777000.0,30.0,9.0,56.0,0,5.6,2.5,5.8,14.8,7.2,6.0,9.4,2.9,54.2
PRJ-0024,Gampaha,Mixed-Use,Loam,11374.0,4.0,18.0,5.0,390070000.0,58189.0,203465000.0,5.0,2.0,14.0,1,5.6,2.5,5.7,13.5,6.9,4.4,9.1,3.1,50.8
PRJ-0025,Badulla,Residential,Loam,10433.0,1.0,4.0,2.0,92420000.0,22391.0,54860000.0,30.0,4.0,6.0,0,2.9,2.5,3.7,7.4,4.3,2.4,5.9,2.8,31.9
PRJ-0026,Colombo,Mixed-Use,Clay,11971.0,2.0,6.0,2.0,198690000.0,34065.0,107500000.0,25.0,12.0,6.0,1,4.1,3.3,6.1,10.5,6.0,2.7,7.6,3.2,43.5
PRJ-0027,Mannar,Industrial,Clay,10789.0,5.0,16.0,6.0,366015000.0,80090.0,209791000.0,10.0,7.0,28.0,0,7.7,3.2,6.9,13.6,7.0,4.7,8.5,3.2,54.8
PRJ-0028,Monaragala,Residential,Laterite,13382.0,2.0,7.0,2.0,129541000.0,34587.0,66369000.0,1.0,1.0,21.0,0,4.2,3.0,5.0,9.8,5.6,2.8,7.1,3.3,40.8
PRJ-0029,Mannar,Residential,Alluvial,13001.0,1.0,3.0,1.0,114167000.0,26956.0,64954000.0,10.0,2.0,36.0,0,3.6,2.9,4.2,8.4,4.8,2.1,6.1,3.2,35.3
PRJ-0030,Mullaitivu,Residential,Sandy,13842.0,5.0,10.0,5.0,404035000.0,110496.0,220591000.0,5.0,9.0,20.0,0,6.5,3.2,6.8,14.1,7.6,4.2,8.5,3.4,54.3
PRJ-0031,Kurunegala,Residential,Sandy,2194.0,2.0,7.0,3.0,21564000.0,8193.0,13442000.0,12.0,10.0,20.0,1,4.8,1.8,3.9,6.5,3.1,2.9,5.5,1.5,30.0
PRJ-0032,Jaffna,Residential,Rocky,13273.0,3.0,13.0,4.0,286526000.0,77111.0,145712000.0,22.0,7.0,50.0,0,5.0,3.7,6.7,11.7,6.2,3.7,7.9,3.2,48.1
PRJ-0033,Trincomalee,Commercial,Loam,10261.0,1.0,3.0,1.0,93714000.0,13120.0,52741000.0,30.0,12.0,43.0,0,3.9,2.4,3.6,7.2,4.2,2.1,5.9,3.0,32.3
PRJ-0034,Ampara,Residential,Clay,5532.0,1.0,2.0,1.0,41038000.0,7784.0,23341000.0,27.0,10.0,57.0,0,3.9,2.6,4.1,5.6,3.1,2.0,4.6,2.0,27.9
PRJ-0035,Ampara,Residential,Clay,14379.0,1.0,4.0,1.0,82008000.0,28583.0,49922000.0,7.0,7.0,35.0,1,4.4,3.5,5.4,9.0,5.3,2.1,5.6,3.5,38.8
PRJ-0036,Anuradhapura,Industrial,Rocky,4514.0,3.0,7.0,2.0,86604000.0,17720.0,50762000.0,9.0,6.0,47.0,0,6.8,2.8,5.6,8.1,4.3,3.0,6.2,2.1,38.9
PRJ-0037,Mannar,Residential,Rocky,1329.0,3.0,8.0,3.0,35255000.0,7621.0,21156000.0,22.0,3.0,28.0,1,4.0,2.4,5.8,8.0,3.7,3.2,6.2,1.4,34.7
PRJ-0038,Ratnapura,Industrial,Clay,12615.0,4.0,9.0,4.0,397656000.0,106843.0,245178000.0,21.0,10.0,5.0,1,7.0,3.3,7.0,13.1,7.3,3.7,8.3,3.6,53.3
PRJ-0039,Polonnaruwa,Residential,Sandy,3758.0,2.0,5.0,2.0,56687000.0,12570.0,35675000.0,12.0,3.0,15.0,0,3.9,2.1,4.0,6.3,3.4,2.7,5.5,1.7,29.6
PRJ-0040,Mullaitivu,Residential,Sandy,8704.0,4.0,17.0,7.0,267381000.0,64001.0,146279000.0,23.0,2.0,59.0,0,4.5,2.5,5.7,12.0,5.8,4.7,8.2,2.5,45.9
PRJ-0041,Kalutara,Commercial,Rocky,11906.0,2.0,7.0,4.0,215648000.0,45889.0,125228000.0,29.0,11.0,25.0,0,4.4,3.7,6.0,9.4,5.4,3.0,6.9,3.3,42.1
PRJ-0042,Matale,Commercial,Clay,13881.0,3.0,7.0,2.0,307538000.0,82580.0,192524000.0,1.0,6.0,8.0,1,6.5,3.5,6.9,12.6,7.1,2.9,8.4,3.7,51.6
PRJ-0043,Anuradhapura,Industrial,Clay,4391.0,3.0,13.0,5.0,105488000.0,17824.0,68400000.0,11.0,4.0,11.0,0,5.8,2.4,5.0,8.6,4.1,3.9,6.7,2.2,38.7
PRJ-0044,Galle,Commercial,Laterite,11139.0,4.0,18.0,6.0,400420000.0,38843.0,253637000.0,30.0,5.0,30.0,1,6.1,2.8,6.0,13.6,6.7,4.6,8.9,3.2,51.9
PRJ-0045,Badulla,Industrial,Clay,7695.0,5.0,23.0,11.0,452328000.0,52427.0,251368000.0,21.0,3.0,51.0,1,6.5,2.7,7.2,14.8,7.0,6.0,9.5,2.7,56.4
PRJ-0046,Hambantota,Residential,Rocky,13565.0,4.0,10.0,5.0,475334000.0,94589.0,251582000.0,15.0,6.0,54.0,0,5.7,3.8,7.3,12.8,7.0,3.9,8.0,3.3,51.8
PRJ-0047,Galle,Residential,Sandy,14710.0,2.0,6.0,2.0,146411000.0,42085.0,83953000.0,2.0,11.0,16.0,0,4.2,3.3,5.3,10.4,5.9,2.7,7.1,3.7,42.6
PRJ-0048,Puttalam,Commercial,Clay,12361.0,4.0,19.0,7.0,321184000.0,91400.0,196323000.0,20.0,12.0,35.0,1,5.5,3.3,7.2,14.7,7.4,4.8,9.4,3.4,55.7
PRJ-0049,Kandy,Industrial,Sandy,9931.0,1.0,4.0,1.0,121673000.0,12908.0,69826000.0,7.0,3.0,21.0,0,5.1,2.8,4.2,7.3,4.2,2.1,5.8,3.2,34.7
PRJ-0050,Mullaitivu,Mixed-Use,Rocky,1325.0,2.0,4.0,1.0,23814000.0,4475.0,13633000.0,21.0,8.0,37.0,0,5.1,2.4,4.7,5.4,2.8,2.3,4.9,1.5,29.1
PRJ-0051,Batticaloa,Residential,Laterite,7277.0,2.0,4.0,2.0,123323000.0,15442.0,77167000.0,12.0,9.0,15.0,0,4.8,2.2,4.3,7.5,4.1,2.5,5.9,2.2,33.5
PRJ-0052,Puttalam,Residential,Laterite,801.0,5.0,16.0,7.0,21674000.0,7406.0,12012000.0,22.0,4.0,32.0,0,5.0,1.5,4.9,10.3,4.7,4.9,7.1,1.3,39.7
PRJ-0053,Hambantota,Commercial,Loam,1174.0,3.0,14.0,6.0,31452000.0,5508.0,19782000.0,18.0,9.0,36.0,0,6.0,1.4,3.5,7.7,3.3,4.1,6.3,1.4,33.7
PRJ-0054,Badulla,Residential,Rocky,11332.0,2.0,7.0,3.0,173496000.0,24606.0,97335000.0,3.0,12.0,5.0,0,4.2,3.6,5.9,9.3,5.1,2.9,6.8,2.9,40.7
PRJ-0055,Gampaha,Mixed-Use,Sandy,12997.0,3.0,10.0,4.0,339010000.0,47127.0,186196000.0,7.0,7.0,51.0,1,5.9,3.1,6.1,12.2,6.6,3.5,8.1,3.4,48.9
PRJ-0056,Polonnaruwa,Industrial,Sandy,12044.0,4.0,9.0,2.0,427386000.0,89032.0,242797000.0,11.0,3.0,32.0,0,6.4,3.1,6.0,12.2,6.6,3.2,7.6,3.5,48.6
PRJ-0057,Ampara,Residential,Laterite,5448.0,1.0,3.0,1.0,24893000.0,8039.0,15293000.0,18.0,7.0,57.0,0,4.2,2.1,3.5,5.6,3.1,2.0,3.7,2.0,26.2
PRJ-0058,Galle,Commercial,Clay,3165.0,5.0,22.0,8.0,140905000.0,17446.0,73116000.0,12.0,1.0,46.0,0,6.1,2.2,5.8,11.9,5.2,5.4,7.9,1.8,46.3
PRJ-0059,Mannar,Commercial,Clay,2325.0,3.0,9.0,4.0,49165000.0,15025.0,26031000.0,6.0,3.0,11.0,0,5.5,2.1,4.7,7.7,3.8,3.5,5.9,1.7,34.9
PRJ-0060,Matara,Residential,Sandy,14939.0,2.0,8.0,4.0,194988000.0,53816.0,125322000.0,5.0,6.0,6.0,0,5.1,3.2,5.3,10.6,5.9,3.1,7.4,3.5,44.1
PRJ-0061,Ampara,Industrial,Clay,13468.0,3.0,14.0,7.0,498293000.0,86464.0,262263000.0,26.0,4.0,46.0,0,5.5,3.4,6.2,12.0,6.4,4.3,8.0,3.7,49.5
PRJ-0062,Kalutara,Residential,Clay,2446.0,2.0,5.0,2.0,30798000.0,6839.0,18022000.0,1.0,7.0,28.0,0,5.1,2.1,4.2,6.3,3.0,2.7,5.3,1.5,30.2
PRJ-0063,Batticaloa,Industrial,Loam,813.0,3.0,10.0,4.0,28270000.0,3573.0,16592000.0,12.0,3.0,8.0,0,5.8,1.3,3.5,7.1,3.3,3.5,5.8,1.6,31.9
PRJ-0064,Kurunegala,Residential,Loam,5399.0,2.0,5.0,1.0,57752000.0,22213.0,33118000.0,27.0,1.0,48.0,0,3.5,1.8,3.5,7.0,3.8,2.5,5.7,2.0,29.8
PRJ-0065,Kandy,Industrial,Laterite,3078.0,4.0,17.0,9.0,129725000.0,18900.0,77408000.0,26.0,9.0,23.0,1,6.7,1.8,5.2,10.7,5.0,5.0,8.0,1.9,44.3
PRJ-0066,Puttalam,Residential,Laterite,3955.0,2.0,7.0,2.0,70372000.0,14160.0,37612000.0,11.0,6.0,30.0,0,4.8,1.8,3.8,6.8,3.4,2.7,5.6,1.7,30.6
PRJ-0067,Matara,Residential,Sandy,9121.0,2.0,7.0,3.0,90453000.0,21034.0,52725000.0,4.0,8.0,15.0,1,5.0,2.6,4.8,9.0,4.8,2.9,6.8,2.6,38.5
PRJ-0068,Kandy,Industrial,Sandy,4614.0,1.0,4.0,1.0,29310000.0,6577.0,16291000.0,27.0,3.0,44.0,0,4.5,2.1,3.5,5.5,2.9,2.1,4.3,2.3,27.2
PRJ-0069,Gampaha,Residential,Sandy,13925.0,2.0,6.0,2.0,179664000.0,27093.0,107664000.0,18.0,8.0,54.0,0,4.7,3.3,5.3,10.0,5.8,2.8,7.0,3.4,42.3
PRJ-0070,Nuwara Eliya,Residential,Loam,4016.0,1.0,4.0,1.0,19746000.0,4371.0,10291000.0,4.0,2.0,47.0,0,3.7,1.6,2.8,5.1,2.7,2.2,3.9,1.7,23.7
PRJ-0071,Monaragala,Mixed-Use,Sandy,11930.0,5.0,17.0,5.0,539707000.0,47799.0,316069000.0,17.0,12.0,15.0,0,5.6,3.0,6.6,14.2,7.3,4.7,8.9,3.2,53.5
PRJ-0072,Jaffna,Mixed-Use,Rocky,12920.0,1.0,2.0,1.0,128009000.0,11046.0,67562000.0,2.0,4.0,49.0,0,4.3,3.8,5.7,8.2,4.8,2.0,6.1,3.4,38.3
PRJ-0073,Kandy,Commercial,Loam,11032.0,4.0,16.0,6.0,355953000.0,95678.0,192854000.0,29.0,3.0,7.0,0,5.3,2.4,5.3,12.5,6.4,4.4,8.2,3.2,47.7
PRJ-0074,Monaragala,Commercial,Loam,9019.0,1.0,4.0,1.0,63857000.0,10275.0,34023000.0,24.0,10.0,16.0,0,5.0,2.2,3.4,7.0,4.0,2.1,5.2,2.8,31.7
PRJ-0075,Puttalam,Residential,Loam,2913.0,5.0,14.0,6.0,94014000.0,25178.0,49585000.0,22.0,1.0,7.0,0,5.0,1.5,4.8,10.6,5.2,4.7,7.2,1.5,40.5
PRJ-0076,Mannar,Residential,Sandy,10244.0,4.0,18.0,5.0,317790000.0,80917.0,198255000.0,2.0,7.0,46.0,0,6.1,2.8,5.8,12.5,6.2,4.4,8.4,2.8,49.0
PRJ-0077,Gampaha,Residential,Alluvial,5156.0,3.0,14.0,5.0,70236000.0,24299.0,38128000.0,12.0,11.0,31.0,0,4.4,1.9,4.3,9.1,4.4,4.0,6.9,2.0,37.0
PRJ-0078,Jaffna,Commercial,Laterite,11038.0,3.0,8.0,4.0,296062000.0,33591.0,189204000.0,6.0,10.0,53.0,0,6.4,2.7,5.2,10.4,5.7,3.4,7.3,3.2,44.3
PRJ-0079,Kandy,Commercial,Clay,14560.0,1.0,4.0,1.0,132129000.0,26490.0,85288000.0,10.0,2.0,58.0,0,4.4,3.5,5.2,8.8,5.2,2.2,6.5,3.7,39.5
PRJ-0080,Batticaloa,Commercial,Laterite,6343.0,1.0,2.0,1.0,58432000.0,10405.0,34223000.0,25.0,4.0,6.0,0,4.0,2.2,3.5,5.8,3.3,2.0,5.2,2.3,28.3
PRJ-0081,Trincomalee,Commercial,Loam,5355.0,5.0,13.0,3.0,187060000.0,48831.0,97542000.0,23.0,9.0,53.0,0,6.8,1.9,5.2,11.5,5.7,4.0,7.4,2.3,44.8
PRJ-0082,Ampara,Residential,Laterite,13015.0,5.0,12.0,4.0,501939000.0,122188.0,279170000.0,25.0,6.0,20.0,0,5.8,2.9,6.5,13.8,7.5,4.1,8.6,3.2,52.4
PRJ-0083,Matara,Residential,Laterite,13388.0,2.0,9.0,4.0,131504000.0,57985.0,81488000.0,21.0,8.0,6.0,0,4.5,3.0,5.0,10.1,5.6,3.3,7.1,3.3,41.9
PRJ-0084,Batticaloa,Residential,Loam,7862.0,5.0,19.0,7.0,212145000.0,63013.0,117764000.0,23.0,2.0,58.0,0,4.9,2.1,5.5,13.0,6.4,5.0,8.4,2.3,47.6
PRJ-0085,Ratnapura,Residential,Clay,4174.0,2.0,4.0,1.0,70529000.0,10671.0,36185000.0,27.0,7.0,34.0,0,4.3,2.4,4.4,6.4,3.3,2.3,5.4,1.8,30.3
PRJ-0086,Mullaitivu,Residential,Sandy,7230.0,4.0,13.0,5.0,226277000.0,49391.0,132037000.0,16.0,6.0,24.0,0,5.6,2.4,5.4,11.1,5.5,4.1,7.4,2.2,43.7
PRJ-0087,Matara,Industrial,Loam,4266.0,1.0,3.0,1.0,27245000.0,3822.0,17076000.0,14.0,9.0,42.0,0,5.8,1.5,2.9,5.2,2.8,2.0,4.1,2.2,26.5
PRJ-0088,Badulla,Residential,Rocky,3881.0,4.0,9.0,4.0,87209000.0,31923.0,54016000.0,7.0,7.0,32.0,0,5.8,2.8,6.1,9.3,4.7,3.7,6.5,1.7,40.6
PRJ-0089,Trincomalee,Residential,Sandy,12770.0,5.0,23.0,9.0,348929000.0,61751.0,183630000.0,28.0,1.0,29.0,0,4.8,3.1,6.7,14.9,7.5,5.7,9.6,3.2,55.5
PRJ-0090,Vavuniya,Residential,Clay,1429.0,4.0,17.0,9.0,32688000.0,7196.0,19643000.0,28.0,8.0,36.0,0,5.2,1.9,5.1,9.6,4.2,5.1,6.9,1.2,39.2
PRJ-0091,Puttalam,Commercial,Laterite,1069.0,4.0,14.0,7.0,30007000.0,8304.0,15996000.0,19.0,11.0,14.0,0,5.5,1.5,4.5,9.0,4.1,4.5,6.6,1.4,37.1
PRJ-0092,Ampara,Commercial,Alluvial,11631.0,4.0,19.0,8.0,278060000.0,76124.0,148131000.0,23.0,10.0,46.0,0,6.3,2.7,5.6,12.9,6.4,5.1,8.7,3.3,51.0
PRJ-0093,Badulla,Residential,Loam,10985.0,5.0,16.0,9.0,360595000.0,74209.0,227575000.0,17.0,3.0,44.0,0,5.2,2.5,5.7,13.8,7.1,5.2,8.6,2.9,51.0
PRJ-0094,Kegalle,Residential,Clay,6524.0,4.0,19.0,7.0,203478000.0,38173.0,109359000.0,9.0,2.0,37.0,1,4.9,2.7,6.1,11.9,5.6,4.8,8.2,2.1,46.3
PRJ-0095,Mullaitivu,Commercial,Sandy,6697.0,2.0,8.0,4.0,121053000.0,26739.0,65307000.0,26.0,12.0,17.0,0,4.6,2.4,4.4,7.8,4.1,3.2,6.2,2.4,35.1
PRJ-0096,Vavuniya,Residential,Clay,11883.0,5.0,19.0,6.0,447272000.0,75814.0,223680000.0,13.0,3.0,60.0,0,5.2,3.2,6.9,14.3,7.3,4.9,9.0,3.1,53.9
PRJ-0097,Hambantota,Industrial,Alluvial,13949.0,4.0,9.0,4.0,380040000.0,112569.0,239653000.0,22.0,11.0,45.0,0,6.0,2.9,5.8,12.7,7.0,3.7,8.0,3.9,50.0
PRJ-0098,Ampara,Commercial,Clay,4232.0,5.0,23.0,10.0,232276000.0,19539.0,143753000.0,5.0,6.0,58.0,1,7.3,2.4,6.7,13.8,6.2,5.9,9.1,2.0,53.4
PRJ-0099,Vavuniya,Residential,Loam,10272.0,3.0,9.0,3.0,254947000.0,58166.0,151464000.0,23.0,3.0,46.0,0,4.0,2.3,4.7,10.3,5.5,3.3,7.2,2.8,40.1
PRJ-0100,Colombo,Residential,Sandy,7076.0,2.0,4.0,1.0,114955000.0,28114.0,70415000.0,5.0,10.0,51.0,0,5.0,2.4,4.4,7.7,4.0,2.4,5.8,2.2,33.9
PRJ-0101,Mullaitivu,Mixed-Use,Loam,6695.0,4.0,8.0,4.0,252641000.0,28241.0,132083000.0,10.0,5.0,41.0,0,6.3,2.0,4.7,10.1,5.5,3.7,6.9,2.3,41.5
PRJ-0102,Galle,Residential,Rocky,14794.0,3.0,11.0,3.0,385999000.0,62245.0,219536000.0,21.0,6.0,58.0,0,5.1,4.0,6.9,12.2,6.6,3.3,7.9,3.6,49.6
PRJ-0103,Hambantota,Residential,Laterite,7915.0,3.0,10.0,3.0,165007000.0,24498.0,91197000.0,27.0,8.0,20.0,1,4.8,2.4,5.3,10.6,5.5,3.4,7.6,2.4,42.0
PRJ-0104,Kegalle,Industrial,Sandy,7456.0,5.0,20.0,10.0,281903000.0,66703.0,144917000.0,10.0,7.0,49.0,0,7.6,2.4,5.9,13.0,6.2,5.7,8.4,2.7,51.9
PRJ-0105,Colombo,Mixed-Use,Clay,11352.0,3.0,14.0,6.0,284942000.0,52769.0,163249000.0,27.0,11.0,26.0,0,4.5,3.2,5.9,11.3,5.8,4.2,7.7,3.2,45.8
PRJ-0106,Mannar,Mixed-Use,Clay,1375.0,2.0,4.0,2.0,24803000.0,4646.0,15827000.0,7.0,8.0,24.0,0,5.4,2.0,4.1,5.5,2.8,2.6,5.1,1.4,28.9
PRJ-0107,Matara,Commercial,Alluvial,7829.0,2.0,8.0,4.0,153069000.0,16834.0,77454000.0,26.0,3.0,54.0,1,4.4,2.2,4.2,8.8,4.6,3.1,6.8,2.7,36.8
PRJ-0108,Kegalle,Residential,Laterite,6899.0,1.0,2.0,1.0,47234000.0,7564.0,25682000.0,15.0,4.0,47.0,0,3.4,2.2,3.5,5.8,3.4,2.0,4.6,2.3,27.2
PRJ-0109,Kilinochchi,Residential,Loam,10299.0,2.0,9.0,4.0,99037000.0,17675.0,52602000.0,7.0,6.0,31.0,0,5.0,2.3,4.2,9.1,4.8,3.3,6.7,2.8,38.2
PRJ-0110,Anuradhapura,Commercial,Rocky,3992.0,3.0,13.0,5.0,92365000.0,14981.0,49482000.0,29.0,11.0,45.0,0,4.9,2.6,5.5,8.5,4.1,3.9,6.8,2.0,38.3
PRJ-0111,Kurunegala,Commercial,Rocky,3978.0,2.0,7.0,2.0,85959000.0,12599.0,54693000.0,27.0,7.0,20.0,1,5.3,2.8,5.5,7.0,3.7,2.7,6.2,1.9,35.1
PRJ-0112,Matara,Residential,Clay,6852.0,5.0,20.0,10.0,244274000.0,68558.0,139288000.0,15.0,9.0,38.0,0,6.1,2.7,6.3,12.7,6.1,5.7,8.4,2.2,50.2
PRJ-0113,Kalutara,Industrial,Alluvial,3534.0,1.0,2.0,1.0,34250000.0,6127.0,19521000.0,3.0,1.0,36.0,0,5.2,1.6,3.0,5.0,2.7,2.0,4.7,2.1,26.3
PRJ-0114,Kalutara,Residential,Loam,6916.0,3.0,10.0,3.0,118468000.0,29245.0,72750000.0,19.0,8.0,30.0,0,5.0,2.0,4.3,9.4,4.8,3.3,6.7,2.3,37.8
PRJ-0115,Colombo,Residential,Loam,11204.0,1.0,4.0,1.0,68994000.0,23913.0,36096000.0,10.0,8.0,29.0,0,4.4,2.6,3.7,7.7,4.4,2.2,5.2,3.0,33.2
PRJ-0116,Matale,Residential,Loam,11344.0,3.0,10.0,5.0,290261000.0,61494.0,166346000.0,28.0,6.0,6.0,0,4.7,2.5,4.8,10.7,5.8,3.6,7.5,3.0,42.6
PRJ-0117,Jaffna,Residential,Clay,4368.0,5.0,15.0,6.0,163780000.0,45913.0,92453000.0,29.0,4.0,16.0,0,4.7,2.3,6.0,11.4,5.5,4.7,7.5,1.8,43.9
PRJ-0118,Galle,Residential,Clay,10647.0,1.0,3.0,1.0,85636000.0,16382.0,50486000.0,15.0,3.0,44.0,1,3.3,3.2,4.9,7.8,4.5,2.0,5.8,2.9,34.4
PRJ-0119,Hambantota,Residential,Rocky,10571.0,4.0,17.0,7.0,276730000.0,49154.0,179856000.0,3.0,11.0,13.0,0,5.1,3.4,6.9,12.6,6.4,4.7,8.2,2.8,50.1
PRJ-0120,Galle,Residential,Clay,14935.0,3.0,9.0,3.0,328695000.0,39158.0,202285000.0,6.0,3.0,16.0,1,4.6,3.6,6.6,12.5,7.0,3.2,8.2,3.6,49.3
PRJ-0121,Hambantota,Commercial,Rocky,3003.0,4.0,10.0,4.0,84350000.0,21820.0,47209000.0,12.0,6.0,30.0,0,6.6,2.6,5.9,9.2,4.6,3.8,6.6,1.8,41.1
PRJ-0122,Matara,Commercial,Sandy,2190.0,1.0,4.0,1.0,21009000.0,2124.0,13112000.0,15.0,8.0,13.0,0,5.1,1.9,3.2,4.6,2.3,2.0,4.9,1.7,25.7
PRJ-0123,Mannar,Commercial,Loam,2542.0,4.0,17.0,5.0,81652000.0,12444.0,42917000.0,6.0,7.0,14.0,0,6.8,1.5,4.3,9.7,4.4,4.3,7.1,1.8,39.9
PRJ-0124,Gampaha,Mixed-Use,Sandy,2725.0,4.0,9.0,4.0,81370000.0,16846.0,41057000.0,13.0,11.0,36.0,1,5.3,1.9,5.2,9.4,4.7,3.7,6.7,1.6,38.5
PRJ-0125,Colombo,Residential,Sandy,1419.0,1.0,2.0,1.0,10532000.0,2256.0,5589000.0,29.0,1.0,38.0,0,3.0,1.7,3.2,4.2,2.2,2.0,3.8,1.2,21.3
PRJ-0126,Trincomalee,Residential,Rocky,2074.0,5.0,12.0,6.0,90357000.0,17015.0,49792000.0,19.0,11.0,52.0,0,5.0,2.5,6.3,10.3,5.0,4.5,6.9,1.4,41.9
PRJ-0127,Ratnapura,Industrial,Sandy,1756.0,4.0,12.0,6.0,47084000.0,7254.0,27148000.0,3.0,6.0,24.0,1,7.4,1.7,5.1,9.8,4.6,4.2,7.0,1.7,41.5
